,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
2002-11-30,0.19515788778836546,0.04905635806316118,0.030004582652314562,0.5829659225203394,0.14281524897581943,3,3,Walking on Ice
2002-12-31,0.22059151876071653,0.438779784446065,0.024003666121851668,0.20237273801640523,0.11425229265496165,1,3,Walking on Ice
2003-01-31,0.13982827747506824,0.5876079644137401,0.019202932897481696,0.1618981904318135,0.0914626347818965,1,1,Inflation
2003-02-28,0.11184827753866142,0.5033932256962648,0.015362392856589645,0.12951855265434825,0.2398775512541358,1,1,Inflation
2003-03-31,0.08947717836580509,0.2336779712896449,0.012302259295305786,0.10361487872877595,0.5609277123204683,4,1,Inflation
2003-04-30,0.07158102949424396,0.18689106748493078,0.009834768485666298,0.5468918820524157,0.18480125248274332,3,1,Inflation
2003-05-31,0.05726482359539515,0.14951285398794462,0.22123909374348585,0.4241422266865101,0.14784100198666422,3,3,Walking on Ice
2003-06-30,0.04581185887637289,0.11961028332166283,0.291145297828,0.19674659437737324,0.34668596559659093,4,3,Walking on Ice
2003-07-31,0.036649487101495376,0.09568825442533642,0.09890113126974713,0.15737924472048828,0.6113818824829329,4,4,Bull Market
2003-08-31,0.029319589680952274,0.07655058769873495,0.45790260686328377,0.125903642278052,0.3103235734789771,2,4,Bull Market
2003-09-30,0.023455671760210486,0.061240483065621194,0.15418841436237316,0.10073056347365493,0.6603848673381403,4,4,Bull Market
2003-10-31,0.018764537399378525,0.04899237910906418,0.5843325870773101,0.08167361909351528,0.26623687732073187,2,4,Bull Market
2003-11-30,0.015011832153359005,0.039193903288972654,0.43143212435367045,0.06526211091123099,0.44910002929276693,4,4,Bull Market
2003-12-31,0.012009350658630237,0.031355122630198795,0.6793707743128303,0.05232347733071695,0.2249412750676236,2,4,Bull Market
2004-01-31,0.009607480526887008,0.0250840981584327,0.2916328694958869,0.04161746941599953,0.6320580824027939,4,4,Bull Market
2004-02-29,0.007685984431148614,0.020067278495867764,0.28373445012744863,0.43998804832452404,0.24852423862101097,3,4,Bull Market
2004-03-31,0.0061487875412707315,0.016061130233842272,0.19444509103087712,0.12059553416346831,0.6627494570305416,4,4,Bull Market
2004-04-30,0.2252720987699233,0.2564916773956042,0.15555603811540414,0.09647642729177908,0.26620375842728944,4,4,Bull Market
2004-05-31,0.05484438128599435,0.06656679267674902,0.12446045463642426,0.07718114189814874,0.6769472295026837,4,4,Bull Market
2004-06-30,0.043875505028642216,0.053253347193623436,0.5594264438999856,0.06174518794881687,0.2816995159289319,2,4,Bull Market
2004-07-31,0.035100567657297764,0.5060440697609627,0.1858927067912484,0.04939599419672908,0.22356666159376212,1,4,Bull Market
2004-08-31,0.028080361023610126,0.14115314135491144,0.14873774720321334,0.03951679651554858,0.6425119539027165,4,4,Bull Market
2004-09-30,0.02246428881883496,0.1129224807329522,0.5804846707843777,0.03161517286364515,0.2525133868001901,2,4,Bull Market
2004-10-31,0.017971431055081814,0.09033798460135313,0.36397555541554016,0.025291301797280407,0.5024237271307446,4,4,Bull Market
2004-11-30,0.014377144844057487,0.0722703876724313,0.6573137627751344,0.02583055907614662,0.23020814563223022,2,4,Bull Market
2004-12-31,0.01150171587524915,0.05781631013794504,0.7290314939973114,0.01748395876799287,0.1841665212215015,2,2,Steady State
2005-01-31,0.009207106951256282,0.47970275603210644,0.3192276761538612,0.013984689148589852,0.17787777171418628,1,2,Steady State
2005-02-28,0.0073624229700237865,0.13714426755986164,0.7193738091505099,0.011195948049631942,0.12492355226997283,2,2,Steady State
2005-03-31,0.005898749597581732,0.573120366418756,0.31150378768043174,0.008952094782126167,0.10052500152110434,1,2,Steady State
2005-04-30,0.004723576709805378,0.6571492016747942,0.24920303014434594,0.007161675825813114,0.08176251564524141,1,1,Inflation
2005-05-31,0.003773404810437284,0.26267843979503924,0.6629178542335066,0.006173101663296717,0.06445719949772007,2,1,Inflation
2005-06-30,0.003018723848453795,0.21014275247984326,0.7299839108154679,0.004718237607440156,0.05213637524879479,2,2,Steady State
2005-07-31,0.0024149790787038193,0.16811420161753554,0.7841923533634473,0.00375700581928043,0.04152146012103295,2,2,Steady State
2005-08-31,0.0019319833521287274,0.1346178943481649,0.3634326250008775,0.003005172472121628,0.4970123248267073,4,2,Steady State
2005-09-30,0.001545595538721195,0.10762232253393761,0.6891614037278575,0.06798866725433257,0.13368201094515114,2,2,Steady State
2005-10-31,0.0012368302649119478,0.5500281013356247,0.32464448852313327,0.017075598153426536,0.1070149817229035,1,2,Steady State
2005-11-30,0.000989260008989081,0.17606217022057444,0.7237130228269412,0.01366301702867689,0.08557252991481848,2,2,Steady State
2005-12-31,0.000791408563717523,0.14085028485045456,0.31603215338939095,0.010992284003559989,0.5313338691928771,4,2,Steady State
2006-01-31,0.000633126536970061,0.11267991570378018,0.7161800604477464,0.008796642978653424,0.16171025433284977,2,2,Steady State
2006-02-28,0.0005065012423823151,0.09022511214831651,0.30913718923124217,0.0070152245400821635,0.5931159728379769,4,2,Steady State
2006-03-31,0.00041645219351823886,0.07214596571727268,0.24753913880646422,0.13209750100668582,0.5478009422760591,4,4,Bull Market
2006-04-30,0.0003267608924854606,0.05770990835769959,0.19796612596204144,0.03371397009354326,0.7102832346942303,4,4,Bull Market
2006-05-31,0.4642614083231259,0.046167926685057564,0.1583046008345571,0.02697017562508133,0.3042958885321781,0,0,Crisis
